,face_id,x,y,w,h,annot_type_id
0,39341,62,64,348,348,1
1,39342,110,25,88,88,1
2,39343,63,128,262,262,1
3,39344,181,341,276,276,1
4,39345,323,334,262,262,1
5,39346,312,172,192,192,1
6,39348,25,62,277,277,1
7,39349,161,141,184,184,1
8,39350,340,50,211,211,1
9,39351,132,65,201,201,1
10,39352,88,52,650,650,1
11,39353,247,87,208,208,1
12,39354,420,300,985,985,1
13,39355,160,223,645,645,1
14,39356,121,85,382,382,1
15,39357,167,101,189,189,1
16,39358,396,46,417,417,1
17,39359,33,168,112,112,1
18,39360,285,79,94,94,1
19,39361,362,129,106,106,1
20,39362,151,146,166,166,1
21,39363,165,125,116,116,1
22,39365,287,355,996,996,1
23,39366,443,176,250,250,1
24,39367,288,114,178,178,1
25,39368,305,-10,507,507,1
26,39369,105,71,124,124,1
27,39370,45,177,189,189,1
28,39371,129,112,177,177,1
29,39372,68,-36,464,464,1
30,39373,267,98,285,285,1
31,39374,123,344,696,696,1
32,39375,89,113,204,204,1
33,39376,311,57,54,54,1
34,39377,194,58,50,50,1
35,39378,311,47,46,46,1
36,39379,463,28,471,471,1
37,39380,781,311,739,739,1
38,39381,129,97,124,124,1
39,39382,321,150,298,298,1
40,39385,81,6,298,298,1
41,39386,187,143,222,222,1
42,39387,43,111,201,201,1
43,39388,175,41,197,197,1
44,39389,145,99,81,81,1
45,39390,108,106,93,93,1
46,39391,288,169,187,187,1
47,39392,121,190,190,190,1
48,39393,66,70,228,228,1
49,39394,109,27,83,83,1
50,39395,357,371,322,322,1
51,39396,162,158,87,87,1
52,39397,110,122,76,76,1
53,39398,234,95,85,85,1
54,39399,195,121,355,355,1
55,39400,153,159,218,218,1
56,39401,243,95,185,185,1
57,39402,770,159,256,256,1
58,39403,111,158,259,259,1
59,39404,150,168,197,197,1
60,39405,135,130,154,154,1
61,39406,353,112,383,383,1
62,39407,310,714,1657,1657,1
63,39408,111,144,132,132,1
64,39409,68,60,90,90,1
65,39410,265,343,1042,1042,1
66,39411,363,289,1061,1061,1
67,39412,108,142,56,56,1
68,39413,234,145,171,171,1
69,39414,320,241,379,379,1
70,39415,115,99,337,337,1
71,39417,112,106,172,172,1
72,39418,314,93,190,190,1
73,39419,115,53,95,95,1
74,39420,149,92,103,103,1
75,39423,159,48,158,158,1
76,39424,136,45,68,68,1
77,39425,106,90,119,119,1
78,39426,69,101,297,297,1
79,39427,86,101,102,102,1
80,39428,549,686,854,854,1
81,39429,10,85,206,206,1
82,39430,553,445,584,584,1
83,39431,317,202,213,213,1
84,39432,152,169,143,143,1
85,39433,231,200,481,481,1
86,39435,102,83,128,128,1
87,39436,153,64,83,83,1
88,39437,241,25,88,88,1
89,39438,346,148,84,84,1
90,39439,160,54,71,71,1
91,39440,440,12,943,943,1
92,39441,142,153,209,209,1
93,39442,74,127,323,323,1
94,39443,253,85,169,169,1
95,39444,757,473,768,768,1
96,39445,143,336,133,133,1
97,39446,51,1,255,255,1
98,39447,312,144,119,119,1
99,39448,244,165,162,162,1
100,39449,98,49,192,192,1
101,39450,220,87,92,92,1
102,39451,13,326,172,172,1
103,39453,140,138,49,49,1
104,39454,232,197,135,135,1
105,39455,312,161,63,63,1
106,39456,1664,538,672,672,1
107,39457,63,163,281,281,1
108,39458,224,112,153,153,1
109,39459,91,49,229,229,1
110,39460,127,17,179,179,1
111,39461,62,120,75,75,1
112,39462,189,125,67,67,1
113,39463,316,103,44,44,1
114,39464,67,340,73,73,1
115,39466,310,324,34,34,1
116,39467,154,79,101,101,1
117,39468,98,61,553,553,1
118,39469,317,81,147,147,1
119,39470,23,128,234,234,1
120,39471,141,232,73,73,1
121,39472,151,66,94,94,1
122,39473,169,62,86,86,1
123,39476,76,108,171,171,1
124,39477,92,188,212,212,1
125,39478,112,73,155,155,1
126,39479,188,71,143,143,1
127,39480,179,-18,268,268,1
128,39481,95,131,183,183,1
129,39482,67,64,231,231,1
130,39483,168,56,214,214,1
131,39484,92,72,421,421,1
132,39485,186,227,460,460,1
133,39486,221,101,180,180,1
134,39487,142,110,170,170,1
135,39488,170,121,105,105,1
136,39489,148,141,239,239,1
137,39490,286,272,95,95,1
138,39491,182,163,534,534,1
139,39492,98,123,143,143,1
140,39493,9,39,74,74,1
141,39494,409,93,77,77,1
142,39495,119,185,139,139,1
143,39496,96,197,197,197,1
144,39497,74,210,212,212,1
145,39498,188,214,170,170,1
146,39499,92,157,73,73,1
147,39500,694,297,106,106,1
148,39501,406,226,434,434,1
149,39502,453,237,431,431,1
